anio_siniestro_x,mes,rango_horario,participantes_siniestro,gravedad_siniestro,temperatura_media,es_fin_de_semana,lluvia_mm,velocidad_viento,humedad_relativa
2024,10,9.0,PEATON-MOTO,LEVE,16.3,0,0.0,10.2,82.0
2024,6,11.0,SD-SD,LEVE,11.5,0,0.0,7.3,93.0
2020,11,9.0,PEATON-AUTO,LEVE,18.5,0,,13.2,82.0
2022,6,7.0,PEATON-AUTO,LEVE,8.2,0,0.0,3.0,92.0
2023,5,14.0,SD-SD,LEVE,12.5,0,0.0,7.3,62.0
2022,12,13.0,BICICLETA-AUTO,LEVE,20.4,0,0.0,7.3,57.0
2024,10,13.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,17.2,0,0.2,24.4,61.0
2019,1,11.0,MOTO-AUTO,LEVE,,0,,,
2021,8,13.0,SD-SD,LEVE,14.4,0,0.0,14.8,85.0
2024,12,12.0,MOTO-TAXI,LEVE,14.8,1,0.0,17.0,63.0
2019,10,1.0,PEATON-AUTO,LEVE,19.1,1,,10.4,84.0
2022,3,0.0,SD-SD,LEVE,18.9,1,0.0,7.6,58.0
2019,5,21.0,MOTO-AUTO,LEVE,12.0,0,,7.4,64.0
2020,3,11.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,21.7,1,,13.6,80.0
2023,11,21.0,BICICLETA-UTILITARIO,LEVE,21.4,0,0.0,17.1,45.0
2019,3,21.0,MOTO-AUTO,LEVE,29.0,0,,26.1,58.0
2022,8,16.0,MOTO-AUTO,LEVE,16.8,0,0.0,8.5,90.0
2020,6,18.0,BICICLETA-MOTO,LEVE,10.6,0,,18.6,93.0
2022,3,9.0,MOTO-AUTO,GRAVE,18.6,0,0.0,9.7,76.0
2023,2,15.0,BICICLETA-TRANSPORTE PUBLICO,LEVE,17.7,1,0.0,11.3,34.0
2021,12,21.0,SD-SD,LEVE,22.1,0,0.0,36.6,68.0
2023,10,15.0,BICICLETA-AUTO,LEVE,24.5,1,0.0,11.9,32.0
2023,9,6.0,MOTO-SD,LEVE,15.2,1,1.0,3.8,92.0
2019,5,9.0,MOTO-TAXI,LEVE,12.3,0,,0.3,94.0
2022,10,9.0,PEATON-AUTO,LEVE,10.2,1,0.0,9.0,79.0
2023,10,8.0,AUTO-AUTO,LEVE,4.8,1,0.0,0.9,86.0
2020,12,8.0,MOTO-AUTO,LEVE,23.0,0,,6.4,82.0
2022,10,16.0,MOTO-AUTO,MORTAL,15.3,0,0.0,16.3,32.0
2024,11,12.0,PEATON-AUTO,GRAVE,23.8,0,0.0,13.2,80.0
2021,3,17.0,PEATON-TRANSPORTE PUBLICO,MORTAL,21.3,0,0.0,12.7,66.0
2020,11,6.0,PEATON-SD,LEVE,20.4,0,,8.7,90.0
2022,8,17.0,BICICLETA-TRANSPORTE PUBLICO,LEVE,22.6,0,0.0,10.9,49.0
2022,1,10.0,MOTO-UTILITARIO,LEVE,23.0,0,0.4,6.2,91.0
2019,12,14.0,PEATON-AUTO,LEVE,24.3,0,,13.7,59.0
2020,12,8.0,SD-SD,LEVE,22.2,0,,17.1,53.0
2019,6,11.0,UTILITARIO-MOVIL,LEVE,10.4,0,,9.0,94.0
2019,10,14.0,PEATON-TRANSPORTE PUBLICO,LEVE,14.8,0,,27.0,60.0
2021,7,15.0,MOTO-AUTO,LEVE,10.4,0,0.0,12.8,48.0
2022,11,10.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,23.2,0,0.0,14.5,49.0
2024,11,8.0,SD-SD,LEVE,18.3,0,0.0,5.7,80.0
2021,10,20.0,SD-SD,LEVE,17.2,1,0.9,11.7,66.0
2024,9,8.0,MIXTO-AUTO,LEVE,10.0,1,0.0,11.6,62.0
2023,9,15.0,SD-SD,LEVE,17.1,0,0.0,17.2,55.0
2019,1,16.0,MOTO-AUTO,LEVE,25.5,0,,16.3,59.0
2021,5,7.0,PEATON-TRANSPORTE PUBLICO,MORTAL,6.4,0,0.0,1.3,81.0
2019,1,17.0,MOTO-AUTO,LEVE,29.7,0,,15.5,60.0
2019,11,21.0,SD-SD,LEVE,22.5,0,,22.3,43.0
2023,12,19.0,MOTO-TAXI,LEVE,19.7,0,0.0,25.1,56.0
2020,7,20.0,MOTO-UTILITARIO,LEVE,14.2,0,,8.1,90.0
2024,11,18.0,AUTO-UTILITARIO,LEVE,28.7,0,0.0,9.6,35.0
2021,8,14.0,SD-SD,LEVE,9.7,0,0.0,13.1,65.0
2024,2,17.0,MOTO-AUTO,LEVE,26.0,0,0.0,10.4,70.0
2019,3,10.0,PEATON-TRANSPORTE PUBLICO,GRAVE,17.4,0,,19.2,80.0
2020,2,19.0,MOTO-UTILITARIO,LEVE,26.3,1,,18.7,56.0
2022,7,7.0,MOTO-SD,LEVE,8.5,1,0.0,10.4,95.0
2023,7,8.0,MONOPATIN-SD,LEVE,4.7,0,0.0,7.1,69.0
2020,2,9.0,PEATON-AUTO,LEVE,24.1,0,,2.5,79.0
2019,12,12.0,SD-SD,LEVE,29.2,0,,12.7,41.0
2023,12,12.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,23.7,0,0.0,19.7,73.0
2023,8,19.0,SD-SD,LEVE,19.8,0,0.0,13.4,45.0
2023,12,18.0,SD-SD,LEVE,26.7,0,0.0,9.0,51.0
2020,2,20.0,MOTO-AUTO,LEVE,29.8,0,,6.6,44.0
2021,11,11.0,BICICLETA-AUTO,LEVE,18.1,1,0.0,10.1,82.0
2021,6,19.0,AUTO-MOVIL,LEVE,8.4,0,0.0,14.4,62.0
2021,9,7.0,BICICLETA-AUTO,LEVE,15.5,0,0.0,11.6,90.0
2021,12,9.0,AUTO-SD,LEVE,21.7,0,0.0,10.1,81.0
2021,11,21.0,PEATON-TRANSPORTE PUBLICO,GRAVE,21.7,0,0.0,10.9,81.0
2023,9,12.0,PEATON-TRANSPORTE PUBLICO,LEVE,14.8,0,0.0,17.0,54.0
2020,11,14.0,BICICLETA-TAXI,LEVE,24.9,0,,9.4,40.0
2020,9,8.0,AUTO-SD,LEVE,9.0,0,,0.0,94.0
2023,5,17.0,MIXTO-MULTIPLE,LEVE,15.9,1,0.0,11.5,63.0
2019,8,13.0,PEATON-AUTO,LEVE,9.4,0,,18.4,49.0
2024,2,15.0,MOTO-UTILITARIO,LEVE,29.1,0,0.0,13.0,57.0
2020,2,17.0,MOTO-OBJETO FIJO,LEVE,27.0,0,,18.2,74.0
2020,1,9.0,MOTO-AUTO,GRAVE,,0,,,
2021,11,18.0,MOTO-AUTO,LEVE,18.3,0,0.9,12.0,88.0
2020,10,22.0,MOTO-AUTO,LEVE,15.1,0,,16.2,61.0
2021,9,9.0,PEATON-AUTO,GRAVE,14.0,1,0.0,18.5,84.0
2019,4,15.0,MOTO-AUTO,LEVE,22.7,0,,10.8,83.0
2022,12,10.0,BICICLETA-AUTO,LEVE,18.5,0,0.0,1.5,71.0
2020,10,13.0,TRANSPORTE PUBLICO-AUTO,LEVE,14.1,0,,13.0,54.0
2022,3,4.0,PEATON-OTRO,LEVE,20.9,0,0.7,28.1,85.0
2020,11,23.0,MOTO-SD,LEVE,20.4,0,,17.9,78.0
2019,2,20.0,SD-SD,LEVE,22.4,0,,9.6,53.0
2020,6,0.0,PEATON-MOTO,LEVE,18.9,0,,9.2,82.0
2023,12,0.0,AUTO-AUTO,LEVE,17.5,0,0.0,31.2,57.0
2021,3,16.0,SD-SD,LEVE,26.6,0,0.2,12.7,67.0
2022,9,20.0,MOTO-UTILITARIO,LEVE,16.3,0,0.0,20.3,29.0
2019,5,16.0,BICICLETA-TAXI,LEVE,19.6,0,,13.7,73.0
2023,7,15.0,MOTO-AUTO,LEVE,11.8,0,0.0,25.1,67.0
2021,10,10.0,MOTO-AUTO,LEVE,18.5,0,0.0,5.0,65.0
2023,7,14.0,MOTO-UTILITARIO,LEVE,12.1,0,0.0,14.4,66.0
2022,9,13.0,PEATON-BICICLETA,GRAVE,13.8,0,0.0,11.6,80.0
2023,11,2.0,MOTO-AUTO,LEVE,20.5,0,0.0,11.9,65.0
2022,7,15.0,MOTO-AUTO,LEVE,11.2,0,0.0,28.0,66.0
2022,6,18.0,MOTO-AUTO,LEVE,13.9,0,0.0,5.2,76.0
2021,1,0.0,AUTO-OBJETO FIJO,LEVE,,0,,,
2022,3,0.0,SD-SD,LEVE,25.6,0,0.0,8.7,46.0
2024,6,12.0,SD-SD,LEVE,8.6,0,0.0,8.2,82.0
2019,5,20.0,MOTO-TRANSPORTE PUBLICO,LEVE,23.4,0,,6.3,39.0
2019,6,17.0,MOTO-CAMION,LEVE,14.4,0,,7.6,78.0
2024,10,4.0,SD-SD,LEVE,21.1,1,0.0,21.8,67.0
2023,11,11.0,SD-SD,LEVE,,0,,,
2022,1,17.0,CAMION-CAMION,LEVE,29.4,0,0.0,11.2,59.0
2022,1,18.0,MONOPATIN-AUTO,LEVE,26.3,0,0.0,9.6,27.0
2024,11,14.0,SD-SD,LEVE,17.7,0,0.2,7.8,94.0
2023,8,11.0,SD-SD,LEVE,10.5,0,0.0,14.0,85.0
2020,12,13.0,SD-SD,LEVE,28.7,0,,8.3,41.0
2023,8,16.0,MOTO-AUTO,LEVE,17.8,0,0.0,11.9,55.0
2021,7,14.0,BICICLETA-UTILITARIO,LEVE,9.1,0,0.0,14.7,51.0
2020,2,15.0,SD-SD,LEVE,30.2,0,,13.6,67.0
2021,4,17.0,MOTO-AUTO,LEVE,23.1,0,0.0,13.9,53.0
2023,4,12.0,AUTO-AUTO,LEVE,19.2,1,0.0,10.3,75.0
2020,1,17.0,PEATON-AUTO,LEVE,27.2,0,,20.9,44.0
2019,2,7.0,SD-SD,LEVE,15.8,0,,6.6,54.0
2023,4,17.0,SD-SD,LEVE,17.2,0,0.0,11.4,41.0
2019,1,23.0,SD-SD,LEVE,24.2,0,,6.0,81.0
2022,9,11.0,PEATON-MOTO,LEVE,14.3,0,0.0,11.5,77.0
2020,9,8.0,MOTO-SD,LEVE,9.9,0,,12.3,67.0
2023,4,12.0,MOTO-TRANSPORTE PUBLICO,LEVE,21.6,0,0.0,9.3,70.0
2019,6,17.0,BICICLETA-AUTO,GRAVE,11.0,0,,19.7,44.0
2020,10,20.0,TAXI-AUTO,LEVE,22.2,0,,23.2,77.0
2020,12,5.0,MOTO-TRANSPORTE PUBLICO,MORTAL,20.0,0,,14.9,59.0
2019,2,21.0,MOTO-MOTO,LEVE,22.4,0,,9.7,53.0
2022,1,22.0,BICICLETA-MOTO,LEVE,27.1,1,0.0,19.7,49.0
2021,10,6.0,AUTO-CAMION,LEVE,,0,,,
2020,1,15.0,SD-SD,LEVE,25.3,1,,12.6,57.0
2023,12,22.0,MOTO-SD,LEVE,27.3,1,0.0,8.7,67.0
2022,9,16.0,BICICLETA-TRANSPORTE PUBLICO,LEVE,17.1,0,0.0,14.9,51.0
2021,6,8.0,BICICLETA-AUTO,LEVE,12.2,0,0.0,14.6,88.0
2019,10,22.0,MOTO-AUTO,LEVE,21.3,0,,8.9,36.0
2019,6,12.0,MOTO-AUTO,LEVE,11.6,0,,10.7,91.0
2019,11,13.0,BICICLETA-AUTO,LEVE,27.0,0,,9.4,58.0
2024,8,7.0,MOTO-CAMIONETA,LEVE,9.0,0,0.0,13.7,86.0
2023,5,18.0,MOTO-AUTO,LEVE,18.1,0,0.0,6.4,71.0
2023,12,18.0,PEATON-UTILITARIO,LEVE,27.6,0,0.0,12.0,46.0
2020,7,11.0,MOTO-AUTO,LEVE,3.0,0,,2.7,75.0
2020,10,15.0,MOTO-TRANSPORTE PUBLICO,GRAVE,17.8,1,,15.8,47.0
2022,6,19.0,AUTO-AUTO,LEVE,11.8,0,0.0,16.3,35.0
2021,9,10.0,MOTO-AUTO,LEVE,17.7,0,0.4,18.6,72.0
2021,6,13.0,BICICLETA-TAXI,LEVE,12.7,0,0.0,14.7,67.0
2023,2,18.0,MOTO-TRANSPORTE PUBLICO,LEVE,30.7,0,0.0,13.1,57.0
2019,3,1.0,BICICLETA-TAXI,LEVE,19.5,1,,10.4,73.0
2024,11,16.0,SD-SD,LEVE,24.9,0,0.0,14.9,55.0
2020,9,20.0,MOTO-AUTO,LEVE,14.5,1,,11.0,54.0
2023,2,23.0,MOTO-AUTO,LEVE,19.3,1,0.0,9.1,36.0
2019,3,15.0,MOTO-AUTO,LEVE,22.4,1,,7.6,52.0
2019,7,14.0,MOTO-TRANSPORTE PUBLICO,LEVE,14.6,0,,7.5,82.0
2024,2,13.0,MOTO-AUTO,LEVE,20.8,0,0.0,10.1,56.0
2022,8,7.0,MOTO-UTILITARIO,LEVE,5.1,0,0.0,10.1,58.0
2023,12,17.0,PEATON-BICICLETA,LEVE,21.2,0,0.7,8.9,90.0
2021,2,6.0,UTILITARIO-SD,LEVE,24.5,0,0.0,8.8,65.0
2023,9,0.0,CAMION-TRANSPORTE PUBLICO,LEVE,15.1,0,0.0,17.5,96.0
2019,12,13.0,MOTO-AUTO,LEVE,24.3,0,,9.8,38.0
2019,8,18.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,15.2,1,,11.8,37.0
2019,7,23.0,MOTO-AUTO,LEVE,13.7,0,,2.3,88.0
2019,1,21.0,MOTO-TAXI,LEVE,23.1,0,,10.1,43.0
2019,1,18.0,BICICLETA-TAXI,LEVE,29.5,1,,16.9,73.0
2019,12,21.0,AUTO-AUTO,LEVE,23.5,0,,18.6,22.0
2022,7,21.0,AUTO-AUTO,LEVE,12.6,0,0.0,4.0,98.0
2023,8,20.0,BICICLETA-AUTO,LEVE,22.6,0,0.0,12.1,77.0
2021,10,10.0,PEATON-AUTO,LEVE,9.6,1,0.0,9.7,72.0
2021,9,23.0,SD-SD,LEVE,18.9,1,0.0,9.8,67.0
2020,7,12.0,MOTO-SD,LEVE,14.6,0,,3.1,95.0
2022,8,7.0,PEATON-AUTO,GRAVE,10.5,0,0.0,7.6,97.0
2022,6,0.0,MOTO-auto,LEVE,8.3,0,0.0,2.3,79.0
2023,2,22.0,SD-SD,LEVE,21.2,1,0.0,5.1,28.0
2023,6,22.0,MOTO-AUTO,LEVE,13.8,0,0.0,15.0,75.0
2019,1,11.0,MOTO-AUTO,LEVE,17.2,0,,17.3,64.0
2023,4,18.0,SD-SD,LEVE,21.4,0,0.0,16.6,71.0
2022,10,18.0,MOTO-AUTO,LEVE,33.6,0,0.0,13.1,24.0
2024,9,12.0,MIXTO-TAXI,LEVE,15.2,1,0.0,4.1,68.0
2020,11,10.0,AUTO-SD,LEVE,17.4,0,,6.2,72.0
2024,9,20.0,MONOPATIN-AUTO,LEVE,17.4,0,0.0,11.1,57.0
2023,8,19.0,MOTO-UTILITARIO,LEVE,13.6,0,0.0,16.7,44.0
2021,1,14.0,MOTO-AUTO,LEVE,28.0,1,0.0,13.1,67.0
2019,12,14.0,MOTO-UTILITARIO,LEVE,24.3,0,,9.9,85.0
2024,9,17.0,PEATON-TRANSPORTE PUBLICO,LEVE,23.1,0,0.0,7.0,29.0
2020,3,0.0,PEATON-SD,LEVE,19.6,1,,14.1,84.0
2019,8,16.0,PEATON-MOTO,LEVE,15.2,1,,11.6,60.0
2021,8,15.0,MOTO-TRANSPORTE PUBLICO,LEVE,9.8,0,0.0,5.1,77.0
2019,1,13.0,BICICLETA-TAXI,LEVE,24.1,0,,8.9,75.0
2024,5,15.0,MOTO-AUTO,LEVE,15.6,0,0.0,8.7,69.0
2022,7,9.0,PEATON-UTILITARIO,LEVE,9.8,0,0.0,12.8,84.0
2023,8,13.0,PEATON-AUTO,LEVE,18.9,0,0.0,7.3,80.0
2024,8,17.0,PEATON-MOTO,MORTAL,10.8,0,0.0,10.6,55.0
2024,2,21.0,BICICLETA-AUTO,LEVE,22.3,0,0.0,11.3,39.0
2021,2,12.0,MOTO-AUTO,LEVE,20.2,0,0.0,13.4,79.0
2020,8,10.0,AUTO-SD,LEVE,2.3,0,,6.0,75.0
2024,9,8.0,SD-SD,LEVE,15.0,0,0.0,6.7,68.0
2023,9,13.0,AUTO-AUTO,LEVE,16.3,1,0.0,12.9,68.0
2021,2,13.0,MOTO-TAXI,LEVE,21.4,0,0.0,11.6,79.0
2019,6,4.0,AUTO-AUTO,GRAVE,16.5,0,,7.8,97.0
2021,12,18.0,SD-SD,LEVE,23.6,0,0.2,12.3,71.0
2019,7,6.0,MOTO-AUTO,LEVE,8.8,0,,11.3,63.0
2019,10,16.0,MOTO-TRANSPORTE PUBLICO,LEVE,26.4,1,,18.4,42.0
2019,8,7.0,MOVIL-AUTO,LEVE,1.9,0,,2.6,76.0
2024,5,7.0,MOTO-AUTO,LEVE,7.6,0,0.0,2.7,81.0
2024,4,11.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,15.7,0,0.0,10.5,70.0
2023,12,15.0,MOTO-MOTO,LEVE,22.0,0,0.0,20.3,60.0
2019,2,10.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,18.4,0,,10.7,71.0
2021,12,15.0,MOTO-AUTO,GRAVE,23.3,0,0.0,17.0,65.0
2022,10,17.0,SD-SD,LEVE,25.7,0,0.0,13.9,26.0
2019,9,11.0,PEATON-CAMION,LEVE,16.6,0,,5.0,52.0
2023,8,19.0,MOTO-TRANSPORTE PUBLICO,LEVE,13.9,0,0.0,9.9,63.0
2019,2,22.0,MOTO-AUTO,LEVE,20.0,0,,8.6,29.0
2022,6,13.0,MOTO-auto,LEVE,9.1,0,0.0,0.9,80.0
2021,9,8.0,SD-SD,LEVE,,0,,,
2022,4,5.0,TAXI-CAMION,LEVE,18.1,1,0.0,7.1,90.0
2022,11,7.0,MOTO-AUTO,LEVE,22.8,0,0.0,8.7,53.0
2019,1,14.0,BICICLETA-AUTO,LEVE,23.0,0,,11.9,86.0
2023,10,20.0,BICICLETA-MOTO,LEVE,18.7,0,0.0,5.1,62.0
2020,11,11.0,PEATON-SD,LEVE,18.6,0,,1.9,64.0
2024,11,10.0,BICICLETA-AUTO,LEVE,19.7,0,0.0,9.7,76.0
2021,7,13.0,AUTO-UTILITARIO,LEVE,13.7,0,0.0,9.7,96.0
2023,11,10.0,MOTO-UTILITARIO,LEVE,16.3,1,0.0,8.4,39.0
2020,6,13.0,MOTO-AUTO,LEVE,13.0,0,,15.1,86.0
2022,3,4.0,UTILITARIO-AUTO,LEVE,20.6,0,0.8,25.3,87.0
2024,7,19.0,PEATON-MOTO,LEVE,20.3,1,0.0,12.7,30.0
2021,11,15.0,PEATON-AUTO,LEVE,21.3,0,0.0,11.8,44.0
2019,5,17.0,PEATON-TAXI,LEVE,17.8,0,,8.9,64.0
2021,10,13.0,SD-SD,LEVE,14.7,0,0.0,20.1,45.0
2019,4,23.0,PEATON-AUTO,LEVE,23.4,0,,8.8,70.0
2019,6,16.0,PEATON-MOTO,LEVE,14.0,0,,13.5,87.0
2021,1,15.0,SD-SD,LEVE,27.3,0,0.0,11.1,50.0
2020,8,0.0,MOTO-AUTO,LEVE,13.1,0,,12.6,66.0
2023,3,12.0,MOTO-AUTO,LEVE,20.0,0,0.0,16.1,72.0
2021,4,5.0,TAXI-AUTO,LEVE,20.5,0,0.0,11.0,90.0
2019,4,7.0,AUTO-MOTO,GRAVE,13.9,1,,3.6,80.0
2023,8,18.0,TRANSPORTE PUBLICO-SD,LEVE,14.4,1,0.0,15.6,52.0
2019,10,11.0,PEATON-TAXI,LEVE,,0,,,
2022,4,20.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,24.0,0,0.0,9.2,58.0
2023,8,15.0,MOTO-AUTO,LEVE,12.8,1,0.0,13.5,31.0
2022,2,5.0,SD-SD,LEVE,18.9,0,0.0,5.7,59.0
2023,5,14.0,MOTO-UTILITARIO,LEVE,12.5,0,0.0,13.5,67.0
2019,3,15.0,BICICLETA-TRANSPORTE PUBLICO,LEVE,16.6,0,,9.1,54.0
2022,9,18.0,MOTO-TRANSPORTE PUBLICO,LEVE,16.9,0,0.0,25.5,41.0
2021,4,11.0,AUTO-CAMION,LEVE,20.1,0,0.8,3.8,95.0
2019,5,20.0,MOTO-AUTO,LEVE,22.3,0,,9.4,64.0
2021,12,9.0,PEATON-TRANSPORTE PUBLICO,LEVE,22.1,0,0.1,12.5,78.0
2023,7,13.0,AUTO-AUTO,LEVE,6.5,0,0.0,10.9,86.0
2024,4,15.0,SD-SD,LEVE,19.9,0,0.0,9.4,49.0
2023,12,10.0,TRANSPORTE PUBLICO-AUTO,LEVE,21.3,0,0.0,10.6,83.0
2020,12,19.0,SD-SD,LEVE,24.9,1,,28.8,40.0
2023,8,17.0,AUTO-AUTO,LEVE,16.3,0,0.0,11.5,47.0
2019,4,23.0,MOTO-AUTO,LEVE,21.5,1,,5.5,79.0
2022,10,19.0,BICICLETA-TRANSPORTE PUBLICO,LEVE,13.9,1,0.0,13.1,65.0
2022,10,11.0,AUTO-AUTO,LEVE,19.2,1,0.2,8.0,74.0
2021,6,16.0,MOTO-SD,LEVE,15.6,0,0.0,6.5,59.0
2019,2,19.0,SD-SD,LEVE,30.0,0,,14.8,54.0
2023,6,17.0,MOTO-SD,LEVE,11.9,0,0.0,6.4,51.0
2024,5,15.0,SD-SD,LEVE,17.4,0,0.2,18.8,93.0
2019,3,7.0,TAXI-AUTO,LEVE,19.5,0,,13.7,82.0
2024,11,13.0,OTRO-MOVIL,LEVE,25.1,0,0.0,12.3,75.0
2024,7,18.0,SD-SD,LEVE,12.9,0,0.0,25.5,50.0
2021,4,17.0,MOTO-AUTO,LEVE,24.2,0,0.0,6.4,47.0
2023,9,19.0,SD-SD,LEVE,18.9,0,0.0,25.5,74.0
2024,5,8.0,SD-SD,LEVE,6.5,0,0.0,7.8,72.0
2021,6,12.0,PEATON-CAMION,LEVE,14.5,0,0.0,11.7,56.0
2022,8,18.0,MOTO-AUTO,GRAVE,20.4,0,0.0,13.6,74.0
2023,11,15.0,SD-SD,LEVE,22.0,0,0.0,13.1,39.0
2024,1,13.0,MOTO-AUTO,LEVE,23.9,0,0.0,14.8,68.0
2022,8,9.0,SD-CAMION,LEVE,10.2,0,0.0,8.3,85.0
2023,1,8.0,BICICLETA-SD,LEVE,22.5,0,0.0,18.1,75.0
2021,11,15.0,MOTO-AUTO,LEVE,23.2,0,0.0,12.1,40.0
2024,12,15.0,SD-SD,LEVE,,0,,,
2020,9,12.0,PEATON-TAXI,LEVE,15.0,1,,19.3,97.0
2019,6,7.0,BICICLETA-AUTO,LEVE,9.7,1,,6.5,53.0
2024,12,16.0,SD-SD,LEVE,26.9,0,,13.3,46.0
2019,8,8.0,MOTO-AUTO,LEVE,16.2,0,,13.9,87.0
2024,1,17.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,28.4,0,0.0,11.7,44.0
2023,8,12.0,SD-SD,LEVE,,0,,,
2023,5,19.0,MOTO-AUTO,LEVE,14.2,0,0.0,9.8,65.0
2019,2,14.0,PEATON-TAXI,LEVE,22.8,0,,10.0,62.0
2023,6,11.0,MOTO-SD,LEVE,6.7,0,0.0,1.1,88.0
2023,8,2.0,MOTO-AUTO,LEVE,13.4,0,0.0,20.1,51.0
2019,11,19.0,PEATON-BICICLETA,LEVE,26.5,0,,9.3,71.0
2019,9,16.0,AUTO-TRANSPORTE PUBLICO,LEVE,21.7,0,,12.0,59.0
2022,3,8.0,AUTO-AUTO,LEVE,16.5,0,3.7,14.0,89.0
2023,10,9.0,MOTO-MOTO,LEVE,10.3,0,1.2,20.5,80.0
2019,12,22.0,MOTO-AUTO,LEVE,21.8,0,,17.6,85.0
2022,10,15.0,MOTO-AUTO,LEVE,24.2,0,0.0,16.9,31.0
2023,10,0.0,SD-SD,LEVE,13.1,0,0.0,17.7,47.0
2023,8,0.0,MOTO-TRANSPORTE PUBLICO,LEVE,12.2,1,0.0,6.5,35.0
2023,2,0.0,MOTO-MOTO,LEVE,27.2,0,0.0,13.9,72.0
2020,1,12.0,AUTO-AUTO,LEVE,27.7,1,,12.2,64.0
2021,9,17.0,BICICLETA-SD,LEVE,13.6,0,0.1,26.1,91.0
2019,9,13.0,PEATON-AUTO,LEVE,15.8,1,,12.6,71.0
2022,11,13.0,PEATON-AUTO,LEVE,25.3,0,0.0,11.4,64.0
2020,2,18.0,BICICLETA-BICICLETA,LEVE,27.0,0,,13.0,43.0
2024,11,21.0,MIXTO-TRANSPORTE PUBLICO,LEVE,28.3,0,0.0,17.3,54.0
2019,1,18.0,PEATON-MOVIL,LEVE,30.2,1,,14.8,69.0
2019,5,13.0,AUTO-AUTO,LEVE,12.5,0,,7.2,57.0
2024,8,12.0,SD-SD,LEVE,10.3,0,0.0,10.6,56.0
2021,1,0.0,MOTO-SD,GRAVE,,0,,,
2024,6,21.0,MOTO-AUTO,LEVE,11.5,0,0.0,6.5,62.0
2023,12,13.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,17.1,0,0.0,15.3,62.0
2024,11,14.0,PEATON-TRANSPORTE PUBLICO,GRAVE,25.1,0,0.0,11.0,47.0
2023,12,17.0,BICICLETA-MOTO,LEVE,24.6,0,0.0,21.5,58.0
2022,5,16.0,MOTO-MOTO,LEVE,14.2,0,0.0,17.6,61.0
2021,11,6.0,BICICLETA-TAXI,LEVE,21.9,0,0.0,9.1,74.0
2022,11,16.0,PEATON-AUTO,LEVE,23.4,0,0.0,13.1,39.0
2022,4,22.0,MOTO-SD,LEVE,12.3,1,0.0,4.1,62.0
2022,10,10.0,MOTO-AUTO,LEVE,17.5,1,1.0,16.3,60.0
2022,9,14.0,PEATON-AUTO,LEVE,13.9,1,0.0,9.6,41.0
2019,4,17.0,MOVIL-TRANSPORTE PUBLICO,LEVE,17.1,0,,25.6,89.0
2022,5,15.0,MOTO-AUTO,LEVE,13.6,0,0.0,10.3,64.0
2023,2,20.0,AUTO-AUTO,LEVE,33.1,0,0.0,15.7,37.0
2021,2,16.0,MOTO-AUTO,LEVE,27.4,0,0.0,10.1,59.0
2024,3,13.0,SD-SD,LEVE,23.0,0,0.0,9.6,48.0
2024,6,19.0,MOTO-AUTO,LEVE,22.1,1,0.0,13.0,53.0
2024,8,8.0,MIXTO-MOVIL,LEVE,8.5,0,0.0,10.5,62.0
2021,3,18.0,MOTO-AUTO,LEVE,22.3,0,0.0,7.6,56.0
2024,1,12.0,BICICLETA-AUTO,LEVE,21.4,1,0.0,11.5,60.0
2021,10,0.0,BICICLETA-AUTO,LEVE,,1,,,
2019,10,15.0,PEATON-AUTO,LEVE,27.0,0,,4.1,40.0
2022,9,9.0,MOTO-AUTO,LEVE,7.5,0,0.0,17.3,81.0
2023,10,17.0,SD-SD,LEVE,15.8,0,0.0,20.8,61.0
2019,11,6.0,AUTO-AUTO,LEVE,16.8,0,,14.0,78.0
2019,11,10.0,MOTO-CAMION,LEVE,20.2,0,,9.9,78.0
2024,11,19.0,SD-SD,LEVE,22.0,0,0.0,12.1,57.0
2022,5,8.0,AUTO-AUTO,LEVE,13.6,0,0.0,14.8,93.0
2024,7,5.0,MOTO-AUTO,LEVE,13.0,0,0.0,16.5,45.0
2020,12,18.0,TRANSPORTE PUBLICO-AUTO,LEVE,26.7,0,,9.3,34.0
2024,9,9.0,BICICLETA-AUTO,LEVE,15.6,0,0.0,10.2,68.0
2022,8,10.0,PEATON-MOTO,GRAVE,10.7,0,0.0,2.3,80.0
2022,6,8.0,MOTO-MULTIPLE,LEVE,,0,,,
2021,6,18.0,SD-SD,LEVE,,1,,,
2023,12,12.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,25.8,0,4.5,18.1,77.0
2023,12,18.0,AUTO-SD,LEVE,17.7,0,0.0,20.2,60.0
2022,10,21.0,PEATON-AUTO,LEVE,15.2,0,0.0,15.2,37.0
