anio_siniestro_x,mes,rango_horario,participantes_siniestro,gravedad_siniestro,temperatura_media,es_fin_de_semana,lluvia_mm,velocidad_viento,humedad_relativa
2023,9,21.0,MOTO-AUTO,LEVE,22.1,0,0.0,24.2,46.0
2019,4,13.0,MOTO-AUTO,LEVE,21.5,0,,7.6,63.0
2023,11,9.0,PEATON-AUTO,GRAVE,,1,,,
2024,1,1.0,MOTO-AUTO,LEVE,,1,,,
2022,1,14.0,MOTO-AUTO,LEVE,26.9,0,0.0,18.4,54.0
2021,6,9.0,MOTO-TAXI,LEVE,4.5,0,0.0,4.4,81.0
2023,9,0.0,AUTO-AUTO,LEVE,7.3,0,0.0,6.5,73.0
2021,8,10.0,TRANSPORTE PUBLICO-TRANSPORTE PUBLICO,LEVE,7.2,0,0.0,3.7,56.0
2022,6,18.0,MOTO-AUTO,LEVE,15.1,0,0.0,2.8,75.0
2020,3,7.0,PEATON-AUTO,LEVE,22.8,0,,9.0,92.0
2021,1,16.0,MOTO-SD,LEVE,27.5,0,0.0,17.1,54.0
2019,3,19.0,PEATON-AUTO,LEVE,22.8,0,,14.1,59.0
2023,12,10.0,AUTO-AUTO,LEVE,17.2,0,0.0,10.2,76.0
2019,2,18.0,SD-SD,LEVE,25.4,0,,12.2,51.0
2022,3,14.0,AUTO-AUTO,LEVE,23.8,0,0.0,7.5,80.0
2024,9,12.0,SD-SD,LEVE,16.4,0,0.0,32.3,58.0
2021,7,17.0,PEATON-UTILITARIO,LEVE,,0,,,
2024,3,20.0,BICICLETA-TAXI,LEVE,26.8,0,0.0,17.9,75.0
2021,7,19.0,MOTO-UTILITARIO,LEVE,11.1,0,0.0,10.1,75.0
2020,11,16.0,MOTO-AUTO,LEVE,21.6,0,,11.7,49.0
2024,10,11.0,MOTO-AUTO,LEVE,15.9,0,0.0,11.2,78.0
2022,4,9.0,MOTO-OBJETO FIJO,MORTAL,14.5,1,0.0,8.4,89.0
2023,4,21.0,SD-SD,LEVE,18.2,1,0.0,9.5,65.0
2023,10,7.0,PEATON-MOTO,LEVE,18.3,0,0.0,14.4,65.0
2022,2,20.0,MOTO-TAXI,GRAVE,27.3,0,0.0,16.1,59.0
2019,6,14.0,PEATON-AUTO,LEVE,11.4,1,,19.3,94.0
2022,4,11.0,PEATON-MOTO,LEVE,13.1,0,0.0,11.2,85.0
2019,11,16.0,MOTO-AUTO,GRAVE,27.0,0,,17.7,46.0
2020,10,22.0,SD-SD,LEVE,16.5,0,,7.9,61.0
2024,1,23.0,MOTO-UTILITARIO,LEVE,23.8,0,0.0,18.6,76.0
2022,2,16.0,PEATON-TAXI,GRAVE,23.0,0,0.0,9.1,50.0
2024,8,13.0,PEATON-AUTO,LEVE,8.3,0,0.0,9.4,72.0
2024,12,16.0,SD-SD,LEVE,25.5,0,,15.6,55.0
2024,7,12.0,TAXI-AUTO,LEVE,6.3,0,0.0,10.9,43.0
2020,5,17.0,MOTO-UTILITARIO,LEVE,14.4,0,,17.8,86.0
2019,3,5.0,MOVIL-MULTIPLE,LEVE,20.5,1,,2.6,87.0
2024,11,18.0,MIXTO-TAXI,GRAVE,21.6,0,0.0,8.8,55.0
2019,8,0.0,PEATON-TAXI,LEVE,11.6,0,,12.5,43.0
2020,6,21.0,MOTO-AUTO,LEVE,13.5,0,,3.7,90.0
2023,4,12.0,PEATON-AUTO,LEVE,20.5,0,0.0,4.1,73.0
2020,7,11.0,PEATON-SD,LEVE,1.7,0,,5.4,60.0
