edad_victima,mes,es_fin_de_semana,temperatura_media,lluvia_mm,velocidad_viento,humedad_relativa,sexo_victima_M,rol_victima_CONDUCTOR,rol_victima_Conductor,rol_victima_PASAJERO,rol_victima_PEATON,rol_victima_SD,rol_victima_conductor,rol_victima_sd
-0.16171376649184133,9,0,10.1,0.0,6.3,64.0,1,0,0,0,0,1,0,0
1.6886962935052208,2,0,22.5,0.0,10.3,65.0,0,0,0,0,0,1,0,0
-1.345976204889961,8,0,9.5,0.0,10.8,66.0,1,0,0,0,0,1,0,0
-1.197943400090196,12,1,18.9,0.0,10.3,84.0,1,0,0,0,1,0,0,0
-1.049910595290431,12,1,22.4,0.1,18.8,91.0,0,0,0,0,0,1,0,0
-0.3837629736914888,7,1,19.7,0.0,5.0,74.0,1,0,0,0,1,0,0,0
2.206811110304398,10,0,16.4,0.0,14.9,86.0,0,0,0,0,0,1,0,0
-0.16171376649184133,3,0,22.5,0.1,14.6,67.0,1,0,0,0,0,1,0,0
-0.16171376649184133,9,1,16.4,0.0,9.5,58.0,0,0,0,0,0,1,0,0
0.2823846479074536,12,0,24.1,0.0,4.8,67.0,1,0,0,0,0,1,0,0
0.2823846479074536,12,0,21.1,0.0,3.7,83.0,0,0,0,0,0,1,0,0
-0.45777937609137126,5,0,23.6,0.0,9.4,45.0,0,0,0,0,0,1,0,0
2.5768931223038107,7,0,3.8,0.0,8.5,82.0,0,0,0,0,0,1,0,0
0.43041745270721854,12,0,20.0,0.0,7.9,93.0,1,0,0,0,0,1,0,0
0.5784502575069835,6,1,7.7,0.0,21.3,44.0,1,0,0,0,0,1,0,0
-0.6058121808911363,5,1,19.6,0.0,8.0,92.0,1,0,0,0,0,1,0,0
-0.013680961692076367,5,1,5.6,0.0,3.9,81.0,1,0,0,0,0,1,0,0
-0.16171376649184133,3,0,13.5,0.0,9.2,49.0,1,0,0,0,0,1,0,0
1.0225486719062784,10,0,18.5,0.0,26.3,69.0,1,0,0,0,0,1,0,0
2.0587783055046334,7,0,10.0,0.0,7.8,97.0,1,0,0,0,1,0,0,0
-0.9018777904906662,3,1,20.6,0.0,9.0,47.0,0,0,0,0,1,0,0,0
-1.1239269976903137,3,1,20.8,0.0,14.0,53.0,0,0,0,0,0,1,0,0
-0.16171376649184133,3,1,21.8,0.0,6.8,61.0,0,0,0,0,0,1,0,0
-0.3097465712916063,1,0,18.3,0.0,9.8,88.0,1,0,0,0,0,1,0,0
-0.08769736409195886,2,1,26.6,0.0,4.7,74.0,1,0,0,0,0,1,0,0
-0.16171376649184133,9,1,21.9,0.0,4.5,31.0,0,0,0,0,1,0,0,0
1.096565074306161,9,0,12.7,0.0,11.8,84.0,1,0,0,0,0,0,0,0
0.35640105030733604,6,0,9.2,0.0,7.6,48.0,1,0,0,0,0,1,0,0
-0.3837629736914888,11,1,18.6,0.0,19.9,78.0,1,0,0,0,0,1,0,0
2.206811110304398,11,1,24.0,0.6,15.1,53.0,0,0,0,0,0,1,0,0
-0.16171376649184133,9,0,9.2,0.0,2.8,80.0,1,0,0,0,1,0,0,0
-0.7538449856909012,1,1,25.9,0.0,18.8,62.0,1,0,0,0,0,1,0,0
-0.16171376649184133,1,0,27.4,0.0,12.3,58.0,0,0,0,0,0,1,0,0
0.43041745270721854,1,0,25.9,0.0,19.6,77.0,1,0,0,0,1,0,0,0
1.4666470863055734,12,0,19.0,0.1,2.5,92.0,1,0,0,0,0,1,0,0
1.1705814767060434,1,0,31.1,0.0,11.2,19.0,0,0,0,0,1,0,0,0
-0.6058121808911363,2,0,23.8,0.0,15.9,55.0,1,0,0,0,1,0,0,0
0.7264830623067485,6,1,21.0,0.0,8.6,68.0,1,0,0,0,0,1,0,0
-0.16171376649184133,1,0,27.9,0.0,8.2,52.0,1,0,0,0,0,1,0,0
0.1343518431076886,7,0,9.5,0.0,15.2,70.0,0,0,0,0,0,1,0,0
-1.049910595290431,10,1,18.8,0.0,4.3,73.0,1,0,0,0,0,1,0,0
-0.5317957784912538,11,0,25.5,0.0,12.5,44.0,0,0,0,0,0,1,0,0
-1.5680254120896087,4,0,18.1,0.0,2.4,97.0,1,0,0,0,0,1,0,0
0.2083682455075711,8,1,11.9,0.0,3.5,50.0,0,0,0,0,0,1,0,0
-0.16171376649184133,4,1,18.1,0.0,11.3,67.0,0,0,0,0,0,1,0,0
-0.16171376649184133,1,0,29.4,0.0,13.4,56.0,1,0,0,0,0,0,0,0
-0.6798285832910187,3,0,20.8,0.0,9.0,74.0,0,0,0,0,0,1,0,0
-0.013680961692076367,5,0,18.5,0.0,9.6,85.0,0,0,0,0,0,1,0,0
-0.16171376649184133,9,0,16.0,0.0,5.4,52.0,1,0,0,0,0,1,0,0
0.43041745270721854,5,0,14.7,0.0,6.8,86.0,1,0,0,0,0,1,0,0
-0.16171376649184133,5,0,12.5,0.0,10.5,65.0,1,0,0,0,0,1,0,0
-0.16171376649184133,2,1,27.4,0.0,8.5,48.0,1,0,0,0,0,1,0,0
-0.16171376649184133,9,0,12.0,0.0,19.3,44.0,1,0,0,0,0,1,0,0
-0.45777937609137126,1,0,30.1,0.0,9.4,51.0,1,0,0,0,0,1,0,0
-0.3837629736914888,2,0,26.4,0.0,10.5,61.0,1,0,0,0,0,1,0,0
3.1690243415028707,2,0,33.1,0.0,13.7,44.0,0,0,0,0,0,1,0,0
-1.642041814489491,6,1,9.2,0.0,13.7,71.0,0,0,0,0,0,1,0,0
-1.1239269976903137,1,1,25.2,0.0,11.3,56.0,1,0,0,0,0,1,0,0
-0.16171376649184133,4,0,23.9,0.0,5.5,57.0,1,0,0,0,0,1,0,0
2.6509095247036933,2,0,20.5,0.0,10.5,41.0,1,0,0,0,1,0,0,0
-1.2719598024900787,12,0,22.0,0.0,12.8,68.0,1,0,0,0,0,1,0,0
0.2083682455075711,12,0,22.7,0.0,11.0,36.0,1,0,0,0,0,1,0,0
0.2823846479074536,7,0,7.5,0.0,9.8,92.0,0,0,0,0,0,0,0,0
-0.9018777904906662,10,0,19.3,0.0,11.4,44.0,0,0,0,0,0,1,0,0
-0.6058121808911363,2,0,21.1,0.0,20.4,75.0,1,0,0,0,0,1,0,0
-1.1239269976903137,11,0,24.1,0.0,14.4,26.0,1,0,0,0,0,1,0,0
-0.16171376649184133,8,0,7.8,0.0,5.2,79.0,1,0,0,0,0,1,0,0
-0.16171376649184133,4,0,23.6,0.0,6.5,69.0,1,0,0,0,0,1,0,0
-0.16171376649184133,2,0,16.9,0.0,12.6,51.0,1,0,0,0,0,0,0,0
-0.16171376649184133,11,0,18.1,0.0,12.3,84.0,1,0,0,0,0,1,0,0
-1.049910595290431,11,0,20.8,0.0,18.2,70.0,0,0,0,0,0,0,0,0
-0.16171376649184133,5,0,14.2,0.0,4.3,75.0,1,0,0,0,0,0,0,0
-0.16171376649184133,1,0,26.1,0.0,13.6,59.0,1,0,0,0,0,1,0,0
-0.23573016889172382,11,1,21.8,0.0,15.7,63.0,0,1,0,0,0,0,0,0
1.1705814767060434,4,0,11.6,0.0,8.9,43.0,1,0,0,0,0,1,0,0
-0.3837629736914888,8,1,18.1,0.0,11.3,67.0,1,0,0,0,0,1,0,0
-1.197943400090196,8,0,9.1,0.0,5.3,84.0,0,0,0,0,0,1,0,0
1.9847619031047508,4,0,17.3,1.2,10.5,90.0,0,0,0,0,0,0,0,0
-0.16171376649184133,4,1,13.1,0.0,11.3,66.0,1,0,0,0,0,0,0,0
0.1343518431076886,4,1,18.9,0.0,5.5,80.0,1,0,0,0,0,1,0,0
2.6509095247036933,10,0,10.8,0.0,16.9,81.0,0,0,0,0,1,0,0,0
1.3186142815058084,6,0,5.3,0.0,7.7,82.0,0,0,0,0,0,1,0,0
-0.16171376649184133,11,0,23.5,0.0,12.8,41.0,0,0,0,0,0,1,0,0
-0.8278613880907837,8,0,15.5,0.0,6.3,84.0,0,0,0,0,0,0,0,0
-0.16171376649184133,8,0,21.3,0.0,13.1,75.0,1,0,0,0,1,0,0,0
-0.16171376649184133,3,0,25.6,0.0,15.3,77.0,1,0,0,0,0,1,0,0
-0.16171376649184133,5,1,13.4,0.0,10.8,84.0,0,0,0,0,0,0,0,0
-0.16171376649184133,7,0,9.0,0.0,20.6,43.0,1,0,0,0,0,1,0,0
-0.5317957784912538,8,0,13.0,0.0,9.4,35.0,0,0,0,0,1,0,0,0
2.2808275127042807,7,0,9.2,0.0,13.2,61.0,0,0,0,0,1,0,0,0
-0.16171376649184133,3,1,23.0,0.0,9.5,59.0,1,0,0,0,0,1,0,0
-0.16171376649184133,7,0,19.8,0.0,7.7,78.0,1,0,0,0,0,1,0,0
-0.23573016889172382,4,0,18.1,0.0,11.3,67.0,1,0,0,0,0,1,0,0
-0.16171376649184133,11,0,22.8,0.0,5.5,78.0,1,0,0,0,0,1,0,0
-1.049910595290431,9,0,17.9,0.0,17.7,50.0,1,0,0,0,0,0,0,0
